title,article,date,author,link
MACRA Hands over Studio Equipment Worth MK400 Million to MUBAS,Paul Mphepo,"December 29, 2022","The official handover ceremony of the equipment was done on Thursday 29 December, 2022. This follows a content production agreement that was signed between MACRA and MUBAS.MUBAS Vice Chancellor, Associate Professor Nancy Chitera, described the donation as timely as it has come at an opportune time that MUBAS is re-establishing itself as a university whose focus is on innovation and entrepreneurship. The Vice Chancellor said the equipment will help MUBAS to provide the transformative space that will see its graduates being innovative and entrepreneurial.“This equipment will allow MUBAS play a pivotal role in MACRA space to ensure high quality local content production for radio and TV stations,” explained Chitera.Chitera added that considering the contemporary world whose major drive is digital economy, the equipment will further help MUBAS train more local content producers and capacitate them to produce high quality content that can compete favorably on international levels.MACRA Director General, Daud Suleman, pointed out that the equipment will go towards improving content production which is the future of the digital economy. Additionally, Suleman observed that in many countries content producers make a lot of money; hence, the need for more and well-trained media content producers.The MACRA DG emphasized on the need for the media to move with times and do away with complex production equipment by adopting use of smartphones. “We are in the process of discussing with Facebook, Google and other platforms with the aim of monetizing the content created in Malawi,” said Suleman.MACRA Board’s Director, Alekeni Menyani, said the local content production is being promoted to help broadcasters in Malawi to meet the 60 percent local content requirement.Menyani explained that MACRA realised the local content production gap among broadcasters. He added that MACRA hopes that the equipment will go a long way in improving local content production and training of media professionals in Malawi.MACRA will also refurbish the department of Journalism and Media Studies production studio which will house the equipment.",http://www.mubas.ac.mw/news/macra-hands-over-studio-equipment-worth-mk400-million-to-mubas-29-12-2022
RUFORUM AGM Excites MUBAS,Paul Mphepo,"December 19, 2022","Associate Professor Kamndaya said this on Friday, 16 December, 2022 at the end of the Regional Universities Forum for Capacity Building in Agriculture (RUFORUM) Annual General Meeting (AGM) held in Zimbabwe from 12 to 16 December, 2022.The 2022 RUFORUM AGM was held under the theme ‘Strengthening Africa’s Agri-Food System in the Post COVID-19 Era: Opportunities and Challenges’.The MUBAS Head of Deans described the meeting as beneficial to MUBAS leadership as it provided them with a platform to meet and interact with fellow African Universities’ leaders (Vice Chancellors, Deputy Vice Chancellors, Registrars and Deans), scientists, policy makers, development partners, private sector actors, and university students across Africa. The delegates learnt from each other on how to advance university education.Delegates also got an opportunity to learn and get more information about MUBAS:“We have established networks with different universities across the region. We also had a pavilion where we had displays and promoted our undergraduate and postgraduate programmes to the delegates at the conference and people of Zimbabwe” explained Kamndaya.Kamndaya further added that the conference provided platforms for knowledge sharing on how to advance innovations and entrepreneurship among university students and staff, and how to develop funding proposals for projects that seeks to advance universities’ agendas.During the AGM, MUBAS Vice Chancellor, Associate Professor Nancy Chitera attended a series of meetings with Vice chancellors and side meetings with fellow women Vice Chancellors that focused on the need for continued efforts in order to improve university education in Africa.Associate Professor Chitera was tasked to issue a vote of thanks on behalf of the 900 visiting delegates. In her Vote of Thanks, Chitera commended the 2022 RUFORUM AGM for demonstrating that Africa is on the rise in advancing university education.The Vice Chancellor passionately applauded RUFORUM leadership for the steady growth of the forum in the past 18 years which has seen the membership increasing from about 10 to 163 universities from 40 African countries.The closing ceremony of the AGM saw Malawi Minister of Education Agness NyaLonje giving a key note address in which she called for an increase in effort and practical innovations that can emancipate Africa from its current problems.“We must find African solutions to African problems, in particular, the food and nutrition problems,” said NyaLonje.The Malawi Minister of Education added that African Universities need to collectively take control of their situation and that they must engage the youth in research, innovations and entrepreneurship in advancing the universities’ development agenda.NyaLonje made a call to governments and development partners to support the universities as she observed that African Universities require significant investment for them to become a tool for development of African nations.RUFORUM is a network of African universities focused on human capacity building and institutional strengthening in agriculture and food systems. The 2022 AGM saw 14 new member universities joining the network.",http://www.mubas.ac.mw/news/ruforum-agm-excites-mubas-19-12-2022
MUBAS VC Energizes ICAM Professional Women ,Paul Mphepo,"November 26, 2022","Associate Professor Chitera was speaking as Guest of Honour at the 2022 ICAM Professional Women’s Conference held at Sunbird Nkopola in Mangochi from 17th to 19th November 2022, under the theme ‘Becoming the Difference Maker: Enhancing the Uniqueness of Women’.The MUBAS Vice Chancellor, in encouraging the women to be fearless, used the imagery of a lion pointing out that a lion is an animal that is not the tallest, the largest, the heaviest, the smartest nor the most intelligent, yet it is the king.Chitera urged the women to be not only goal oriented but also focused on achieving the goals and producing results in their professional work. She advised the professional female accountants to check their attitude towards work and fellow employees, observing that “attitude produces corresponding behaviour”.She further urged the women to safeguard the environment that affects self-belief system development by having right mentality, taking charge of their lives, and mentoring those under them.Chitera continued to say that as professionals, the female accountants should endeavor to achieve influence by acting with integrity. She added that being consistent, being assertive, and having relevant skills will also make them influential. Chitera advised: “Stay focused on what matters and follow through, but also engage with others and build connections.”President of Forum for Women Accountants in Malawi (FOWAMA), Akonda Supuni Yakobe asked the female accountants to ask themselves, individually: “What difference am I making in my office?”Yakobe urged the female accountants to realize how unique they are and to always be professional. She stated that a unique woman follows her dream, realizes her failures and never ever gives up such that if one path does not work she follows a detour that still leads to her dream.The three days conference had presentations on ‘surmounting legal barriers to women’s professional and economic advancement’, ‘wealth creation’, ‘resiliently wading through a storm’, ‘defying status quo’ and ‘personal branding’.",http://www.mubas.ac.mw/news/mubas-vc-energizes-icam-professional-women-26-11-2022
MUBAS VC Inspires Central High International 2022 Awardees,Paul Mphepo,"November 4, 2022","Associate Professor Chitera said this on Wednesday, 2nd November, 2022, when she presided over as Guest of Honor at Central High International School Prize Giving Ceremony, an annual event that recognizes students’ outstanding performances.In her inspirational talk titled ‘Success is Predictable’, the MUBAS Vice Chancellor said students’ determination and drive for excellence lead to a successful academic journey.Chitera hinted that there are certain skills and attributes that every successful individual should possess regardless of his/her field.Quoting Brian Tracy’s ‘No Excuses’ Chitera said: “Success is indeed predictable. You succeed when you do what other successful people do over and over again until it becomes your habit.”In her speech, the MUBAS VC focused on what she termed 3Cs: Communication, Confidence, and Character.“Students in sciences tend to ignore communication, yet for one to come out successful in any academic class or even to get the best scholarship, one must be able to express oneself clearly through oral, written, and nonverbal communication,” Chitera explained.Chitera also said that when one is able to communicate effectively, s/he builds confidence—a belief in one’s ability to succeed. She, however, urged the awardees to avoid too much confidence as overconfidence may make them appear arrogant and subsequently lead to their stumble.She also emphasized on the need for good character: “Bad character will bring you down whilst good character will carry you up the success ladder”, said Chitera.The event saw 106 students receive their awards for coming top in all subjects, Cambridge Checkpoint, IGCSE, and A-Level examinations.Among the awardees, 39 were boys representing 36.8% and 67 were girls representing 63.2%.",http://www.mubas.ac.mw/news/mubas-vc-inspires-central-high-international-2022-awardees-04-11-2022
MUBAS outclass PLU in ECAMA debate,Pangano Baluwa,"October 19, 2022","The debate was held on Friday 15th October 2022 at Malawi Institute of Management campus in Lilongwe.The two universities debated on the topic: Citizen participation in the budget process lead to fiscal transparency and accountability in Malawi.The MUBAS team comprised of Chikondi Bonongwe, Beatrice Manyozo, Grinford Manganyera and Dumisani Nyirenda outshined their PLU counterparts with 42 points to 37 points.In her remarks, Victoria Kayange President of ABAS hailed the MUBAS team for the excellent display.We prepared really well for this tournament and that has contributed to our success. There are areas we need to improve so that we come back strong in the second round,” Kayange explained.Serah Munthali, a MUBAS Lecturer praised the MUBAS team for their outstanding performance and progressing to the next round of the debate.Munthali applauded ECAMA for the debate among public and private universities in Malawi saying this promotes competition and creates a platform for improving practice, creativity and public speaking among the university students.",http://www.mubas.ac.mw/news/mubas-outclass-plu-in-ecama-debate-19-10-2022
Engineering Students visit Kauma Wastewater Treatment Plant,Rhobin Phwetekere,"October 11, 2022","One of the sixteen students who travelled to Lilongwe for the tour, Anita Ndalama, said they have benefited a lot from the visit which had accorded them an opportunity to have hands-on practical design calculations which cemented what they had learnt in class. The visit also enhanced their understanding of how the wastewater stabilization ponds functions.The wastewater being managed at Kauma was coming from residences, institutions, commercial buildings and industries including ground water and storm water that flows through the wastewater collection system.The students were led by their lecturer associate Professor Theresa Mkandawire, who applauded the good relationship existing between MUBAS and industry thereby allowing students to have such practical experience of their lessons.",http://www.mubas.ac.mw/news/engineering-students-visit-kauma-wastewater-treatment-plant-11-10-2022
MUBAS conduct orientation for MBA Students,Pangano Baluwa,"September 26, 2022","The event was graced by Dean of Post Graduate, Peter Muhagama and MBA Coordinator Andrew Lipunga.Students were then oriented on a number of issues including structure of post graduate programs, assessment and general rules, academic quality issues, fees accounts and payments and Library electronic services.Speaking on the day, Mhagama, congratulated students for being enrolled into the Master’s Degree program at MUBAS saying they will be sharpened by highly qualified lecturers.“They are several Universities out there, but you decided to choose MUBAS as such we are grateful, it also has to be said that MUBAS is vibrant learning institution with professional tutors as such the decision you have made will not be regretted. We therefore, urge everyone to embrace the spirit of hard work to match with the intense pace of learning at MUBAS,” Mhagama said.His sentiments were echoed by Judith Mbewe student selected into MBA programme who acknowledged the quality that MUBAS provides in the society which she added is of paramount and important to the social economic development of Malawi.“Am happy to be part and parcel of MUBAS because of its reputation to the society and am eager to contribute to the success of this great University,” Mbewe said.Among others, during the day, the students were given a chance to voice out their views as well as ask questions and were responded by the right authorities.",http://www.mubas.ac.mw/news/mubas-conduct-orientation-for-mba-students-26-09-2022
MUBAS conduct orientation for Post Graduate Students,Pangano Baluwa,"September 20, 2022","The event was graced by MUBAS Vice Chancellor, Associate Prof. Nancy Chitera and Dean of Post Graduate studies Peter Muhagama whilst director of ceremonies was assistant registrar for MUBAS Martin Matululu.Students were then oriented on a number of issues including structure of post graduate programs, assessment and general rules, academic quality issues, fees accounts and payments as well as Library electronic services.Speaking on the day, Associate Prof. Chitera, congratulated students for being enrolled into the Master’s Degree program at MUBAS.The MUBAS Vice Chancellor said the institution is looking forward to see these newly enrolled Students applying the knowledge impacted into ground-breaking and industrialist which is in line with one of the MUBAS’s objectives.“One of MUBAS objectives is to be a leading innovation University, and as such we encourage our students to embrace this notion by coming with innovative and entrepreneurial skills,” said Chitera.On his remarks, Muhagama challenged the students to excel in their academics and contribute to the social economic development of Malawi adding the nations awaits for their professionalism.“Post Graduate students have a role in imparting their skills to the society; as a nation we are living in a world of innovation and entrepreneurship, as such the onus is on the students to come up with good ideas that will facilitate innovations so as create a better Malawi, he said.Ida Nkolimbo, a newly enrolled student into Master of Arts in Media Studies, hailed MUBAS for organizing the orientation as it bridges the gap between students and lecturers which in turn benefits the students who end up being fed with accurate information which is essential in the advancement of their studies.",http://www.mubas.ac.mw/news/mubas-conduct-orientation-for-post-graduate-students-20-09-2022
Deloitte Malawi donates 5.6 million to MUBAS students,Pangano Baluwa,"September 20, 2022","The event was held on Thursday 15th September at Deloitte offices in Blantyre, and was graced by Deloitte Audit Partner, Christopher Kapenda, MUBAS Dean of Business and Economic Sciences, Kizito Kanyoma and Director of Students’ Affairs, Dr Getrude Sitolo Banda.The donation will see 3.7 million Kwacha shared to three students and will cater for their tuition fees, accommodation and Laptops, whilst the remaining two million Kwacha will go to faculty of Business and Economic Science symposium which will be conducted on the 23rd of September 2022.In his remarks, Kaphande appreciated the long cordial relationship that Deloitte has with MUBAS adding that this makes their organization to reach out to the needy students at the institution.“As part of our corporate social responsibility we decided to support our colleagues from MUBAS after a plea was made on our table, we believe MUBAS plays a vital role in the ecosystem and will continue with this kind of provisions for a long time,” Kaphande said.His sentiments were echoed by Kanyoma who acknowledged the kind gesture demonstrated by Deloitte saying the institution is looking forward for more of such development as there are more disadvantaged students at MUBAS.“Here at MUBAS we have a good relationship with Deloitte, the donation is one in a million because most of our students find it hard to pursue their academics due to financial constraints as such the assistance is indeed a relief ” Kanyoma said.Boston Chirwa one of the beneficiaries pursuing Bachelor of Accountancy applauded Deloitte for the kind gesture narrating that it takes a company with a bigger heart to offer such assistance and this will go in the memory lane of the students.",http://www.mubas.ac.mw/news/deloitte-malawi-donates-56-million-to-mubas-students-20-09-2022
Master’s Degree students in Sustainable and Energy Studies Tours MEGA Plantation,Pangano Baluwa,"September 17, 2022","The aim was to create exposure to students on the technical aspects as well providing recommendations to the challenges faced by the renewable Energy Industry.The students toured MEGA offices and were received by Arnold Kaziphale Project Coordinator who gave a detailed origin of MEGA, its roles and objectives as well as some of the challenges faced by the Electricity Generation Power Institution.The students then made a visit to the plant station side in Bondo Community to appreciate the technicalities involved in the generation of electricity to the community as well as challenges faced, the students were also given a chance to ask questions as well as recommendations to the technicians.In his remarks leader of delegation and lecturer in Electrical engineering department Joseph Phiri said “the purpose of the visit, was to expose students on what is happening in sustainable energy students, he further said that the tour will help students with technical skills as well as coming up with recommendations on their upcoming research studies”.On her part Sithembile student studying Master of Science in Sustainable Energy hailed the relevance of the tour as students have been given a chance to appreciate on how the hydropower plant generates power, “as students whatever we have seen here it’s something that we learnt in class but we needed to appreciate the practical side of it, the visit will also give us a chance of providing recommendations on challenges faced in energy industry Sithembile said.",http://www.mubas.ac.mw/news/masters-degree-students-in-sustainable-and-energy-studies-tours-mega-plantation-17-09-2022
